InvestigationType,EventDate,Location,Country,Latitude,Longitude,Lethality,InjurySeverity,AircraftDamage,RegistrationNumber,Make,Model,NumberofEngines,EngineType,PurposeofFlight,AirCarrier,TotalFatalInjuries,WeatherCondition,BroadPhaseofFlight
Accident,9/15/83,"GRAND CHENIER, LA",United States,29.7668868,-92.9751469,1,Fatal,Destroyed,N3456T,Maule,BO-105S,2,Turbo Shaft,Business,,2,VMC,CRUISE
Accident,9/15/83,"GREEN COVE SPR., FL",United States,29.9919085,-81.6781467,1,Fatal,Substantial,N80041,Piper,S-2A,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,9/17/83,"FORESTVILLE, WI",United States,44.6899986,-87.4792588,1,Fatal,Destroyed,N15651,PIPER,PA-28-180,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,9/18/83,"NACOGDOCHES, TX",United States,31.6035129,-94.6554874,1,Fatal,Destroyed,N111QL,Robinson,690A,2,Turbo Prop,Positioning,,2,IMC,APPROACH
Accident,9/24/83,"ENCAMPMENT, WY",United States,41.2060709,-106.8001396,1,Fatal,Destroyed,N3770P,PIPER,PA-18-150,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,9/25/83,"RAYMOND, IL",United States,39.3194941,-89.5720367,1,Fatal,Destroyed,N3184,Enstrom,415-C,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,9/25/83,"BETHANY, IL",United States,39.6455916,-88.7381252,1,Fatal,Destroyed,N8236U,PIPER,PA-28-161,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,10/1/83,"SNOW WATER LAKE, NV",United States,40.7885368,-114.9653196,1,Fatal,Destroyed,N92019,CESSNA,182M,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,10/9/83,"SULLIVAN, MO",United States,38.2081045,-91.1604207,1,Fatal,Destroyed,N55008,Bellanca,8KCAB,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,10/10/83,"CORNWELL, FL",United States,27.3786521,-81.0967332,1,Fatal,Destroyed,N6830Y,PIPER,PA-23-250,2,Reciprocating,Unknown,,2,VMC,MANEUVERING
Accident,10/13/83,"SCHURZ, NV",United States,38.9507534,-118.811256,1,Fatal,Destroyed,N8370Z,CESSNA,210-5 (205),1,Reciprocating,Business,,2,VMC,CRUISE
Accident,10/13/83,"HANKSVILLE, UT",United States,38.3730379,-110.7140391,1,Fatal,Destroyed,N3254Y,CESSNA,182,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,10/20/83,"BURKE, SD",United States,43.1824998,-99.2920453,1,Fatal,Destroyed,N3375U,CESSNA,182F,1,Reciprocating,Personal,,2,IMC,CLIMB
Accident,10/21/83,"LAKE HILLS, TN",United States,35.078577,-85.1919952,1,Fatal,Substantial,N5763P,PIPER,PA-24-250,1,Reciprocating,Personal,,2,VMC,DESCENT
Accident,10/23/83,"BRENTWOOD, TN",United States,36.0331164,-86.7827772,1,Fatal,Destroyed,N7338G,CESSNA,TU206G,1,Reciprocating,Business,,2,VMC,APPROACH
Accident,10/24/83,"NEWARK, IN",United States,39.1289344,-86.8072274,1,Fatal,Destroyed,N7144U,Mooney,M20E,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,10/24/83,"ST AUGUSTINE, FL",United States,29.9012437,-81.3124341,1,Fatal,Destroyed,N42RH,HELIO,CP-301-S,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,10/28/83,"BELFAIR, WA",United States,47.4514588,-122.826946,1,Fatal,Destroyed,N94282,CESSNA,C-152-II,1,Reciprocating,Personal,,2,IMC,TAKEOFF
Accident,10/28/83,"LITTLETON, MA",United States,42.5372893,-71.5128022,1,Fatal,Destroyed,N6586V,Bellanca,17-31 ATC,1,Reciprocating,Other Work Use,,2,VMC,CRUISE
Accident,10/29/83,"FAIRVIEW, OK",United States,36.2689248,-98.4798009,1,Fatal,Destroyed,N5343A,CESSNA,310,2,Reciprocating,Personal,,2,VMC,DESCENT
Accident,10/29/83,"LONGVIEW, TX",United States,32.5007037,-94.7404891,1,Fatal,Destroyed,N99096,Enstrom,415-C,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,10/31/83,"NEAR CHALLIS, ID",United States,44.5046445,-114.2317308,1,Fatal,Destroyed,N5631G,CESSNA,150K,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,11/3/83,"RIVERSIDE, CA",United States,33.9806005,-117.3754942,1,Fatal,Destroyed,N15039,PIPER,PA-32-260,1,Reciprocating,Personal,,2,VMC,TAKEOFF
Accident,11/4/83,"ELKO, NV",United States,40.8324211,-115.7631232,1,Fatal,Destroyed,N739YL,CESSNA,172N,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,11/4/83,"SPARKS, NV",United States,39.5349112,-119.7526886,1,Fatal,Destroyed,NONE,MELLEMA,T10,1,Reciprocating,Instructional,,2,VMC,CRUISE
Accident,11/5/83,"RHINEBECK, NY",United States,41.9318294,-73.9074372,1,Fatal,Destroyed,N1177Q,CESSNA,210L,1,Reciprocating,Personal,,2,VMC,TAKEOFF
Accident,11/6/83,"DECATUR, MI",United States,42.1080979,-85.9744569,1,Fatal,Destroyed,N5528L,CESSNA,152 II,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,11/7/83,"BARTLESVILLE, OK",United States,36.7473114,-95.9808179,1,Fatal,Destroyed,N3256X,CESSNA,310L,2,Reciprocating,Personal,,2,VMC,APPROACH
Accident,11/8/83,"CLINES CORNERS, NM",United States,35.0094982,-105.6691804,1,Fatal,Destroyed,N4116B,AERO COMMANDER,520,2,Reciprocating,Ferry,,2,IMC,CRUISE
Accident,11/11/83,"ALBION, NE",United States,41.6918434,-98.0012091,1,Fatal,Destroyed,N2220Y,PIPER,PA-28-161,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,11/12/83,"MAMMOTH LAKES, CA",United States,37.648546,-118.972079,1,Fatal,Destroyed,N8110E,Mooney,M20A,1,Reciprocating,Personal,,2,UNK,CRUISE
Accident,11/19/83,"NEAR NAPLES, FL",United States,26.1420358,-81.7948103,1,Fatal,Destroyed,N1826Z,BEECH,95-B55,2,Reciprocating,Instructional,,2,VMC,MANEUVERING
Accident,11/22/83,"AURORA, CO",United States,39.7294319,-104.8319195,1,Fatal,Destroyed,N7724N,CESSNA,414,2,Reciprocating,Personal,,2,IMC,APPROACH
Accident,11/24/83,"OCEANSIDE, CA",United States,33.1958696,-117.3794834,1,Fatal,Destroyed,N6295T,PIPER,PA-24-250,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,11/24/83,"WAYNESVILLE, NC",United States,35.4887145,-82.9887477,1,Fatal,Destroyed,N6623C,CESSNA,414A,2,Reciprocating,Personal,,2,VMC,CRUISE
Accident,11/27/83,"LEXINGTON, TN",United States,35.6509029,-88.3933796,1,Fatal,Destroyed,N5396L,PIPER,PA-28-180,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,11/27/83,"WELLSVILLE, PA",United States,40.0514836,-76.9366416,1,Fatal,Destroyed,N81YB,AIRMASS,AA-1A,1,Reciprocating,Personal,,2,VMC,APPROACH
Accident,11/28/83,"MOOSE, WY",United States,43.6557657,-110.7182646,1,Fatal,Destroyed,N107CB,Bellanca,17-31ATC,1,Reciprocating,Personal,,2,IMC,TAKEOFF
Accident,11/28/83,"KATHLEEN, FL",United States,28.1208502,-82.023138,1,Fatal,Destroyed,N9094P,PIPER,PA-24-260,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,12/1/83,"HOLTVILLE, CA",United States,32.8111612,-115.3802643,1,Fatal,Destroyed,N3206W,PIPER,PA-32-260,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,12/2/83,"HEBBRONVILLE, TX",United States,27.3067057,-98.6783516,1,Fatal,Destroyed,N4097B,Bellanca,17-30A,1,Reciprocating,Business,,2,VMC,DESCENT
Accident,12/4/83,"PAWNEE, OK",United States,36.3378321,-96.8039232,1,Fatal,Destroyed,N4579Z,PIPER,PA-22-108,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,12/4/83,"LAKELAND, FL",United States,28.0394654,-81.9498042,1,Fatal,Destroyed,N4115K,PIPER,PA-31-350,2,Reciprocating,Unknown,,2,VMC,TAKEOFF
Accident,12/11/83,"TUCSON, AZ",United States,32.2226066,-110.9747108,1,Fatal,Destroyed,N1563Z,BEECH,95-A55,2,Reciprocating,Instructional,,2,VMC,MANEUVERING
Accident,12/13/83,"GREENWICH, CT",United States,41.0262417,-73.6281964,1,Fatal,Destroyed,N2254T,CESSNA,R182,1,Reciprocating,Personal,,2,IMC,GO-AROUND
Accident,12/17/83,"STOCKTON, NJ",United States,40.407883,-74.9782238,1,Fatal,Destroyed,N12EG,BEECH,T-34A,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,12/21/83,"TEHACHAPI, CA",United States,35.1321877,-118.4489739,1,Fatal,Destroyed,N47947,PIPER,PA-28R-201T,1,Reciprocating,Business,,2,UNK,TAKEOFF
Accident,12/28/83,"ST. CATHERINES, GA",United States,31.6288866,-81.1526976,1,Fatal,Destroyed,N4829M,BEECH,BE-36,1,Reciprocating,Business,,2,IMC,CRUISE
Accident,12/31/83,"FLOYD, IA",United States,43.1277502,-92.7363031,1,Fatal,Substantial,N4457E,PIPER,PA-38-112,1,Reciprocating,Instructional,,2,VMC,MANEUVERING
Accident,1/1/84,"TRAVERSE CITY, MI",United States,44.7630567,-85.6206317,1,Fatal,Destroyed,N3776T,PIPER,PA-28R-180,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,1/2/84,"BOWIE, AZ",United States,32.3259301,-109.4870642,1,Fatal,Destroyed,N1050G,WSK PZL Mielec,VARI-EZE,1,Reciprocating,Personal,,2,UNK,CLIMB
Accident,1/4/84,"MORGAN CITY, LA",United States,29.6993748,-91.20677,1,Fatal,Destroyed,N5792X,AEROSPATIALE,AS-355F,2,Turbo Shaft,Unknown,,2,IMC,CRUISE
Accident,1/7/84,"ZOLFO SPRINGS, FL",United States,27.4933718,-81.7959155,1,Fatal,Destroyed,N73180,CESSNA,T207A,1,Reciprocating,Personal,,2,IMC,TAKEOFF
Accident,1/11/84,"THROCKMORTON, TX",United States,33.1787153,-99.1775756,1,Fatal,Destroyed,N8646,Bellanca,7ECA,1,Reciprocating,Aerial Observation,,2,VMC,UNKNOWN
Accident,1/15/84,"ATTALLA, AL",United States,34.0217639,-86.0885852,1,Fatal,Destroyed,N31844,PIPER,PA-32RT-300,2,Reciprocating,Personal,,2,IMC,APPROACH
Accident,1/21/84,"SANTA PAULA, CA",United States,34.3541659,-119.0592705,1,Fatal,Destroyed,N42CW,WEATHERLY,KR-2,1,Reciprocating,Personal,,2,VMC,UNKNOWN
Accident,1/27/84,"FRITCH, TX",United States,35.6397655,-101.603228,1,Fatal,Destroyed,N3829D,BEECH,77,1,Reciprocating,Personal,,2,VMC,UNKNOWN
Accident,1/27/84,"COLUMBUS, NM",United States,31.8276002,-107.6400232,1,Fatal,Destroyed,N719K,BEECH,A36,1,Reciprocating,Personal,,2,VMC,DESCENT
Accident,1/30/84,"GREENSBORO, NC",United States,36.0726354,-79.7919754,1,Fatal,Destroyed,N4447F,CESSNA,P210N,1,Reciprocating,Personal,,2,IMC,APPROACH
Accident,2/3/84,"JAFFREY, NH",United States,42.8139651,-72.0231238,1,Fatal,Destroyed,N6814G,CESSNA,402,2,Reciprocating,Business,,2,IMC,CRUISE
Accident,2/6/84,"LAMPASAS, TX",United States,31.063784,-98.1816957,1,Fatal,Destroyed,N9480L,AIRMASS,AA-1A,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,2/9/84,"LINCOLN, KS",United States,39.0403293,-98.1476965,1,Fatal,Destroyed,N714GT,CESSNA,150M,1,Reciprocating,Personal,,2,UNK,CRUISE
Accident,2/10/84,"DURANGO, CO",United States,37.27528,-107.8800667,1,Fatal,Destroyed,N6400E,BEECH,58P,2,Reciprocating,Personal,,2,IMC,APPROACH
Accident,2/15/84,"SALEM, OH",United States,40.9008923,-80.8567501,1,Fatal,Destroyed,N52697,CESSNA,177RG,1,Reciprocating,Business,,2,IMC,TAKEOFF
Accident,2/15/84,"MENA, AR",United States,34.5862171,-94.2396554,1,Fatal,Substantial,N6815Z,CESSNA,414A,2,Reciprocating,Personal,,2,VMC,APPROACH
Accident,2/15/84,"HAINES, AK",United States,59.2358333,-135.445,1,Fatal,Destroyed,N88327,PIPER,J3C-65S,1,Reciprocating,Personal,,2,VMC,TAKEOFF
Accident,2/17/84,"COOPER CITY, FL",United States,26.0573112,-80.271716,1,Fatal,Destroyed,N5408M,CESSNA,152,1,Reciprocating,Instructional,,2,VMC,MANEUVERING
Accident,2/20/84,"FRANKTOWN, CO",United States,39.3913788,-104.752753,1,Fatal,Destroyed,N89182,CESSNA,152,1,Reciprocating,Instructional,,2,VMC,MANEUVERING
Accident,2/21/84,"KEY WEST, FL",United States,24.5550593,-81.7799871,1,Fatal,Destroyed,N731NJ,CESSNA,P-210N,1,Reciprocating,Personal,,2,IMC,UNKNOWN
Accident,2/22/84,"HAMILTON, AL",United States,34.1423235,-87.9886438,1,Fatal,Destroyed,N1034W,Beech,A36,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,2/22/84,"THOUSAND OAKS, CA",United States,34.1705609,-118.8375937,1,Fatal,Destroyed,N8404S,Robinson,R22,1,Reciprocating,Unknown,,2,VMC,CRUISE
Accident,2/25/84,"MONTICELLO, IN",United States,40.7453169,-86.7647343,1,Fatal,Destroyed,N3805X,CESSNA,310K,2,Reciprocating,Personal,,2,VMC,APPROACH
Accident,2/25/84,"BLUEFIELD, WV",United States,37.2698395,-81.2223195,1,Fatal,Destroyed,N2160P,PIPER,PA-23,2,Reciprocating,Personal,,2,VMC,CRUISE
Accident,2/28/84,"MIDDLETON, ID",United States,43.7068281,-116.6201357,1,Fatal,Destroyed,N51715,EMBRAER,280C,1,Reciprocating,Unknown,,2,VMC,CRUISE
Accident,3/1/84,"STEVENSON, WA",United States,45.6956723,-121.8845241,1,Fatal,Destroyed,N735KE,CESSNA,U206,1,Reciprocating,Business,,2,IMC,CRUISE
Accident,3/2/84,"NORTH HUDSON, NY",United States,43.9525575,-73.7284641,1,Fatal,Destroyed,CFUQW,CESSNA,U206A,1,Reciprocating,Personal,,2,UNK,CRUISE
Accident,3/3/84,"OCONTO, NE",United States,41.1411186,-99.7631704,1,Fatal,Destroyed,N8054E,PIPER,PA-28-236,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,3/3/84,"GOODWAY, AL",United States,31.3368355,-87.4258186,1,Fatal,Destroyed,N8427A,PIPER,PA-32RT-301T,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,3/12/84,"CLOVIS, CA",United States,36.8252277,-119.7029194,1,Fatal,Destroyed,N66436,CESSNA,150M,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,3/12/84,"GALENA, AK",United States,64.7333333,-156.9275,1,Fatal,Destroyed,N5976D,PIPER,PA-18-150,1,Reciprocating,Personal,,2,VMC,UNKNOWN
Accident,3/15/84,"RIALTO, CA",United States,34.1064001,-117.3703235,1,Fatal,Destroyed,N14110,Nix,T-28B,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,3/16/84,"ONEONTA, NY",United States,42.4528571,-75.0637746,1,Fatal,Destroyed,N77777,LET,18-56,2,Reciprocating,Unknown,,2,VMC,APPROACH
Accident,3/17/84,"KIEFER, OK",United States,35.9448155,-96.065275,1,Fatal,Destroyed,N5502V,Bellanca,8KCAB,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,3/17/84,"BRISTOW, OK",United States,35.8306334,-96.391118,1,Fatal,Destroyed,N7386W,PIPER,PA-28-180,1,Reciprocating,Personal,,2,VMC,GO-AROUND
Accident,3/19/84,"WEBB CITY, MO",United States,37.1464475,-94.4630035,1,Fatal,Destroyed,N6665X,BEECH,B36,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,3/19/84,"GASCONADE, MO",United States,38.669489,-91.5601667,1,Fatal,Destroyed,N30667,PIPER,PA-28-181,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,4/4/84,"FAYETTEVILLE, AR",United States,36.082156,-94.1718542,1,Fatal,Destroyed,N8156M,CESSNA,310I,2,Reciprocating,Business,,2,IMC,APPROACH
Accident,4/5/84,"BAKER, OR",United States,44.7748748,-117.8343848,1,Fatal,Destroyed,N1270Z,BEECH,N35,1,Reciprocating,Business,,2,VMC,CRUISE
Accident,4/6/84,"NW.OF ABINGDON, VA",United States,36.7098335,-81.9773482,1,Fatal,Destroyed,N96578,CESSNA,182Q,1,Reciprocating,Business,,2,IMC,CLIMB
Accident,4/7/84,"MEMPHIS, MO",United States,40.4578119,-92.1712924,1,Fatal,Destroyed,N6902C,PIPER,PA-28R-201T,1,Reciprocating,Business,,2,VMC,UNKNOWN
Accident,4/8/84,"HOUSTON, TX",United States,29.7604267,-95.3698028,1,Fatal,Destroyed,N4167Y,Bellanca,8GCBC,1,Reciprocating,Personal,,2,VMC,UNKNOWN
Accident,4/10/84,"MARLBORO, NJ",United States,40.3380949,-74.2687291,1,Fatal,Destroyed,N9950U,Grumman,AA-1C,1,Reciprocating,Personal,,2,VMC,TAKEOFF
Accident,4/14/84,"KEY WEST, FL",United States,24.5550593,-81.7799871,1,Fatal,Destroyed,N5942N,Robinson,114A,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,4/16/84,"DIAMOND LAKE, OR",United States,43.1787376,-122.1389202,1,Fatal,Destroyed,CGHLW,CESSNA,150L,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,4/16/84,"SKULL VALLEY, AZ",United States,34.5039684,-112.6848712,1,Fatal,Destroyed,N85034,Bellanca,7AC,1,Reciprocating,Personal,,2,VMC,UNKNOWN
Accident,4/21/84,"CYPRESS, TX",United States,29.9716905,-95.6937856,1,Fatal,Destroyed,N10605,No American/Rogers B L,AT-6D,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,4/27/84,"LONE PINE, CA",United States,36.6060444,-118.0628654,1,Fatal,Destroyed,N56981,PIPER,PA-28R-200,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,4/28/84,"COCKEYSVILLE, MD",United States,39.4812172,-76.6438598,1,Fatal,Destroyed,N6079R,PIPER,PA-60-601P,2,Reciprocating,Personal,,2,VMC,CLIMB
Accident,4/29/84,"BYRON, OK",United States,36.9019722,-98.2939595,1,Fatal,Destroyed,N3564A,PIPER,PA-22,1,Reciprocating,Personal,,2,IMC,DESCENT
Accident,5/2/84,"SAN ANTONIO, TX",United States,29.4241219,-98.4936282,1,Fatal,Destroyed,N82DS,DAVIS,TIGER MOTH DH 82A,1,Reciprocating,Personal,,2,VMC,TAKEOFF
Accident,5/4/84,"LOVELOCK, NV",United States,40.1793537,-118.4734808,1,Fatal,Destroyed,N1978N,CESSNA,140,1,Reciprocating,Business,,2,VMC,APPROACH
Accident,5/4/84,"SHELDON, IA",United States,43.1812107,-95.8569539,1,Fatal,Destroyed,N3761R,PIPER,PA-28-180,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,5/6/84,"DALLAS, GA",United States,33.9244531,-84.8413056,1,Fatal,Destroyed,N6293V,CESSNA,172RG,1,Reciprocating,Unknown,,2,UNK,UNKNOWN
Accident,5/7/84,"NEW CUMBERLAND, PA",United States,40.2323122,-76.8846956,1,Fatal,Destroyed,N6907L,CESSNA,310K,2,Reciprocating,Positioning,,2,IMC,APPROACH
Accident,5/8/84,"HIGHLAND HGTS, OH",United States,41.5519954,-81.4784522,1,Fatal,Destroyed,N3833H,Mooney,M20J,1,Reciprocating,Personal,,2,IMC,TAKEOFF
Accident,5/8/84,"HORIZON CITY, TX",United States,31.6926121,-106.2074793,1,Fatal,Destroyed,NONE,MELTON,T-10R263,1,Reciprocating,Instructional,,2,VMC,CRUISE
Accident,5/13/84,"PERRIS, CA",United States,33.7825194,-117.2286478,1,Fatal,Destroyed,NONE,MENEAR PITTS,TU-10,1,Reciprocating,Instructional,,2,VMC,MANEUVERING
Accident,5/17/84,"CHESAPEAKE, VA",United States,36.7682088,-76.2874927,1,Fatal,Destroyed,N934,BEECH,35,1,Reciprocating,Unknown,,2,VMC,TAKEOFF
Accident,5/21/84,"PLATINUM, AK",United States,59.0130556,-161.8163888,1,Fatal,Destroyed,N4798U,CESSNA,180H,1,Reciprocating,Other Work Use,,2,VMC,MANEUVERING
Accident,5/21/84,"SLEETMUTE, AK",United States,61.7025,-157.1697222,1,Fatal,Substantial,N1378C,PIPER,PA-18,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,5/21/84,"PLATINUM, AK",United States,59.0130556,-161.8163888,1,Fatal,Destroyed,N82454,PIPER,PA-18-150,1,Reciprocating,Other Work Use,,2,VMC,MANEUVERING
Accident,5/23/84,"ST.PETERSBURG, FL",United States,27.7676008,-82.6402915,1,Fatal,Destroyed,N2552A,PIPER,PA-38-112,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,5/25/84,"CAMDENTON, MO",United States,38.0080902,-92.7446289,1,Fatal,Destroyed,N7192S,CESSNA,150H,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,6/2/84,"BAKER, CA",United States,35.2675155,-116.0739073,1,Fatal,Destroyed,N6GW,PIPER,PA-31-350,2,Reciprocating,Unknown,,2,UNK,UNKNOWN
Accident,6/3/84,"HOUMA, LA",United States,29.5957696,-90.7195348,1,Fatal,Destroyed,N4665E,CESSNA,A185F,1,Reciprocating,Positioning,,2,VMC,APPROACH
Accident,6/5/84,"LACEYS SPRING, AL",United States,34.5337436,-86.590015,1,Fatal,Destroyed,N8207S,CESSNA,150F,1,Reciprocating,Personal,,2,VMC,TAKEOFF
Accident,6/6/84,"ROSAMOND, CA",United States,34.8641446,-118.1634075,1,Fatal,Destroyed,N5335M,CESSNA,152,1,Reciprocating,Personal,,2,IMC,CRUISE
Accident,6/9/84,"CASCADE, CO",United States,38.8966566,-104.9722013,1,Fatal,Destroyed,N2676Q,CESSNA,182K,1,Reciprocating,Instructional,,2,VMC,MANEUVERING
Accident,6/16/84,"HAMMOND, OR",United States,46.1993123,-123.9520588,1,Fatal,Destroyed,N5465L,Grumman,AA-5,1,Reciprocating,Personal,,2,VMC,DESCENT
Accident,6/16/84,"MIDDLEFIELD, OH",United States,41.4619986,-81.0737079,1,Fatal,Destroyed,N6262U,Mooney,M20C,1,Reciprocating,Personal,,2,VMC,LANDING
Accident,6/20/84,"CUMMING, GA",United States,34.2073196,-84.1401926,1,Fatal,Destroyed,N231,Burkhart Grob,480,2,Reciprocating,Personal,,2,VMC,TAKEOFF
Accident,6/20/84,"WARREN, MN",United States,48.1966421,-96.7728401,1,Fatal,Destroyed,N9367K,CESSNA,T188C,1,Reciprocating,Aerial Application,,2,VMC,CLIMB
Accident,6/20/84,"WARREN, MN",United States,48.1966421,-96.7728401,1,Fatal,Destroyed,N6533K,GRUMMAN,G-164B,1,Reciprocating,Aerial Application,,2,VMC,DESCENT
Accident,6/28/84,"PALOS VERDE EST, CA",United States,33.8005714,-118.3900737,1,Fatal,Destroyed,N9400F,Hughes,269B,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,6/28/84,"BROOMFIELD, CO",United States,39.9205411,-105.0866504,1,Fatal,Destroyed,N3713H,Mooney,M20J,1,Reciprocating,Business,,2,VMC,TAKEOFF
Accident,6/29/84,"MINCO, OK",United States,35.3128371,-97.9444913,1,Fatal,Destroyed,N6473P,CESSNA,152,1,Reciprocating,Personal,,2,VMC,UNKNOWN
Accident,6/30/84,"YORBA LINDA, CA",United States,33.8885035,-117.8132571,1,Fatal,Destroyed,N735MQ,CESSNA,182Q,1,Reciprocating,Personal,,2,IMC,TAKEOFF
Accident,6/30/84,"ALBUQUERQUE, NM",United States,35.0843859,-106.650422,1,Fatal,Destroyed,N3267V,BEECH,35,1,Reciprocating,Personal,,2,VMC,TAKEOFF
Accident,7/4/84,"HENDERSON, NV",United States,36.0395247,-114.9817213,1,Fatal,Destroyed,N18048,CESSNA,150,1,Reciprocating,Personal,,2,VMC,CLIMB
Accident,7/5/84,"RICHMOND, CA",United States,37.9357576,-122.3477486,1,Fatal,Destroyed,N103PD,CESSNA,172M,1,Reciprocating,Business,,2,VMC,MANEUVERING
Accident,7/5/84,"RICHMOND, CA",United States,37.9357576,-122.3477486,1,Fatal,Substantial,N95726,CESSNA,182Q,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,7/5/84,"WALBRIDGE, OH",United States,41.5878281,-83.4932651,1,Fatal,Destroyed,N9225H,CESSNA,172M,1,Reciprocating,Personal,,2,VMC,CRUISE
Accident,7/8/84,"SHELTER ISLAND, NY",United States,41.0681549,-72.3386939,1,Fatal,Destroyed,N927M,BEECH,95,2,Reciprocating,Personal,,2,VMC,DESCENT
Accident,7/15/84,"CARBONDALE, CO",United States,39.4022054,-107.2111628,1,Fatal,Destroyed,N5449V,NOBLE,P-51D,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,7/16/84,"NEWCOMB, NY",United States,43.9695074,-74.1645951,1,Fatal,Destroyed,N8345A,PIPER,PA-34-220T,2,Reciprocating,Unknown,,2,UNK,CRUISE
Accident,7/18/84,"MESA, AZ",United States,33.4151843,-111.8314724,1,Fatal,Destroyed,N58369,Hughes,369D,1,Turbo Shaft,Unknown,,2,VMC,CLIMB
Accident,7/19/84,"NANTUCKET, MA",United States,41.2834704,-70.099451,1,Fatal,Destroyed,N4950G,CESSNA,172N,1,Reciprocating,Personal,,2,VMC,UNKNOWN
Accident,7/21/84,"SELBYVILLE, DE",United States,38.4603917,-75.2207437,1,Fatal,Destroyed,N9014W,PIPER,PA-28-235,1,Reciprocating,Personal,,2,IMC,UNKNOWN
Accident,7/21/84,"HENDERSON, NV",United States,36.0395247,-114.9817213,1,Fatal,Destroyed,N78JC,Snow,BD-4,1,Reciprocating,Personal,,2,VMC,TAKEOFF
Accident,7/27/84,"CLARINDA, IA",United States,40.7419352,-95.038313,1,Fatal,Destroyed,N4229G,SIKORSKY,VARIEZE,1,Reciprocating,Personal,,2,VMC,TAKEOFF
Accident,7/28/84,"WILLOWS, CA",United States,39.5243265,-122.1935931,1,Fatal,Destroyed,N80AH,PIPER,PA-11,1,Reciprocating,Personal,,2,VMC,MANEUVERING
Accident,7/30/84,"LAKE CHARLES, LA",United States,30.2265949,-93.2173758,1,Fatal,Destroyed,N4314D,PIPER,PA-28-161,1,Reciprocating,Instructional,,2,VMC,MANEUVERING
Accident,8/1/84,"KOTZEBUE, AK",United States,66.8983333,-162.5966666,1,Fatal,Destroyed,N83138,AERONCA,7CCM,1,Reciprocating,Personal,,2,IMC,MANEUVERING
Accident,8/2/84,"PETROS, TN",United States,36.0958817,-84.4419232,1,Fatal,Destroyed,N27948,PIPER,PA-31-350,2,Reciprocating,Personal,,2,UNK,CRUISE
Accident,8/3/84,"CABLE, WI",United States,46.2079443,-91.2932572,1,Fatal,Destroyed,N3963R,PIPER,PA-28-180F,1,Reciprocating,Personal,,2,UNK,CLIMB
Accident,8/4/84,"ELY, NV",United States,39.2533328,-114.874248,1,Fatal,Destroyed,N30394,CESSNA,177A,1,Reciprocating,Personal,,2,UNK,CRUISE
Accident,8/6/84,"FARMINGTON, NM",United States,36.7280583,-108.2186856,1,Fatal,Destroyed,N601SP,CESSNA,R172E,1,Reciprocating,Aerial Observation,,2,VMC,MANEUVERING
Accident,8/8/84,"SELBYVILLE, DE",United States,38.4603917,-75.2207437,1,Fatal,Destroyed,N10468,PIPER,L-21-A,1,Reciprocating,Business,,2,VMC,TAKEOFF
